,collection_address,count
512,34D85C9CDEB23FA97CB08333B511AC86E1C4E258,26
508,495F947276749CE646F68AC8C248420045CB7B5E,25
284,28472A58A490C5E09A238847F66A68A47CC76F0F,25
442,9378368BA6B85C1FBA5B131B530F5F5BEDF21A18,19
445,BC4CA0EDA7647A8AB7C2061C2E118A18A936F13D,19
990,5CC5B05A8A13E3FBDB0BB9FCCD98D38E50F90C38,16
392,4DB1F25D3D98600140DFC18DEB7515BE5BD293AF,14
778,60E4D786628FEA6478F785A6D7E704777C86A7C6,14
364,76B3AF5F0F9B89CA5A4F9FE6C58421DBE567062D,14
16,A5C0BD78D1667C13BFB403E2A3336871396713C5,13
1144,0B4B2BA334F476C8F41BFE52A428D6891755554D,13
3,CA7CA7BCC765F77339BE2D648BA53CE9C8A262BD,13
397,98B82D9EFC577B1C3AA6578342121231DB2B47B9,13
446,79FCDEF22FEED20EDDACBB2587640E45491B757F,13
455,4A8C9D751EEABC5521A68FB080DD7E72E46462AF,13
123,809D8F2B12454FC07408D2479CF6DC701ECD5A9F,13
1043,4B61413D4392C806E6D0FF5EE91E6073C21D6430,12
399,57F1887A8BF19B14FC0DF6FD9B2ACC9AF147EA85,12
1007,ECDD2F733BD20E56865750EBCE33F17DA0BEE461,12
1014,7AB2352B1D2E185560494D5E577F9D3C238B78C5,11
206,31D45DE84FDE2FB36575085E05754A4932DD5170,11
1129,ED5AF388653567AF2F388E6224DC7C4B3241C544,11
12,86C10D10ECA1FCA9DAF87A279ABCCABE0063F247,11
799,49CF6F5D44E70224E2E23FDCDD2C053F30ADA28B,11
363,E785E82358879F061BC3DCAC6F0444462D4B5330,11
576,B4D06D46A8285F4EC79FD294F78A881799D8CED9,10
783,F61F24C2D93BF2DE187546B14425BF631F28D6DC,10
252,C878671FF88F1374D2186127573E4A63931370FC,10
828,E0176BA60EFDDB29CAC5B15338C9962DAEE9DE0C,10
710,F1268733C6FB05EF6BE9CF23D24436DCD6E0B35E,10
124,1B79C7832ED9358E024F9E46E9C8B6F56633691B,10
1112,0C2E57EFDDBA8C768147D1FDF9176A0A6EBD5D83,10
283,19B86299C21505CDF59CE63740B240A9C822B5E4,9
533,75E95BA5997EB235F40ECF8347CDB11F18FF640B,9
543,D9F092BDF2B6EAF303FC09CC952E94253AE32FAE,9
859,9A534628B4062E123CE7EE2222EC20B86E16CA8F,9
51,67D9417C9C3C250F61A83C7E8658DAC487B56B09,9
52,D2F668A8461D6761115DAF8AEB3CDF5F40C532C6,9
112,26BADF693F2B103B021C670C852262B379BBBE8A,9
104,5845E5F0571427D0CE33550587961262CA8CDF5C,9
35,A3AEE8BCE55BEEA1951EF834B99F3AC60D1ABEEB,9
1041,160C404B2B49CBC3240055CEAEE026DF1E8497A0,9
552,78A5E2B8C280FA5580FBE1E1ED546183F959D305,9
486,1A92F7381B9F03921564A437210BB9396471050C,9
675,BCE3781AE7CA1A5E050BD9C4C77369867EBC307E,9
975,CE6E3A14B5F8CE2B05AF0F117DC922769779AA3B,8
59,D73ACD7F5099FDD910215DBFF029185F21FFBCF0,8
976,BA30E5F9BB24CAA003E9F2F0497AD287FDF95623,8
80,282A7D13152B3F51A3E31D46A2CA563F8554D85D,8
854,6632A9D63E142F17A668064D41A21193B49B41A0,8
